ID,TIPID,LineItemName,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation
29,1116,,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,1.0
30,1117,,0.15,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.15
31,1118,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
32,1264,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0
33,1265,,,0.5,,,,,,,,,,,1.0,,,1.0,,,,0.0,0.0,0.0,2.5
34,1267,,,,3.73,,,,,,,,,,3.419,,,2.15,,,,0.0,0.0,0.0,9.3
35,1268,,,,8.9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.9
36,1269,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
37,1270,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
38,1271,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
39,1272,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
40,1273,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
41,1274,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
42,1275,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
43,1276,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
44,1277,,,,,,,,,,,,,,0.7,,,,,,,0.0,0.0,0.0,0.7
45,1279,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
46,1280,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
47,1281,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
48,1283,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
49,1284,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
50,1285,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
51,1286,,,,,,,,,,,,,,2.9,,,,,,,0.0,0.0,0.0,2.9
52,1287,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
53,1289,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
54,1290,,,,,,,,,,,,,,0.6,,,,,,,0.0,0.0,0.0,0.6
55,1291,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
56,1292,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
57,1293,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
58,1294,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
59,1295,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
60,1296,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
61,1297,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
62,1298,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
63,1299,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
64,1300,,,,,,,,,,,,,,0.8,,,,,,,0.0,0.0,0.0,0.8
65,1301,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
66,1302,,,,,,,,,,,,,,,,,3.2,,,,0.0,0.0,0.0,3.2
67,1304,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
68,1305,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
69,1306,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
70,1307,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
71,1308,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
72,1309,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
73,1311,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
74,1313,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
75,1314,,,,,,,,,,,,,,4.4,,,,,,,0.0,0.0,0.0,4.4
76,1315,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
77,1316,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
78,1317,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
79,1318,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
80,1319,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
81,1321,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
82,1322,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
83,1323,,,,2.6,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.6
84,1324,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
85,1325,,,,,,,,,,,,,0.1,0.0,,,,,,,0.0,0.0,0.0,0.1
86,1326,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
87,1327,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
88,1328,,,,1.1,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.1
89,1329,,,,,,,,,,,,,,,,,0.4,,,,0.0,0.0,0.0,0.4
90,1330,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
91,1331,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
92,1332,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
93,1333,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
94,1334,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
95,1335,,,,,,,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,2.0
96,1336,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
97,1337,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
98,1338,,,,,,,,,,,,,,,,,0.2,,,,0.0,0.0,0.0,0.2
99,1339,,,,,,,,,,,,,,,,,0.3,,,,0.0,0.0,0.0,0.3
